Away Team,Home Team
Atlanta Braves,Arizona Diamondbacks
Atlanta Braves,Arizona Diamondbacks
Atlanta Braves,Arizona Diamondbacks
Chicago Cubs,Arizona Diamondbacks
Chicago Cubs,Arizona Diamondbacks
Chicago Cubs,Arizona Diamondbacks
Cincinnati Reds,Arizona Diamondbacks
Cincinnati Reds,Arizona Diamondbacks
Cincinnati Reds,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Colorado Rockies,Arizona Diamondbacks
Detroit Tigers,Arizona Diamondbacks
Detroit Tigers,Arizona Diamondbacks
Detroit Tigers,Arizona Diamondbacks
Houston Astros,Arizona Diamondbacks
Houston Astros,Arizona Diamondbacks
Kansas City Royals,Arizona Diamondbacks
Kansas City Royals,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Los Angeles Dodgers,Arizona Diamondbacks
Miami Marlins,Arizona Diamondbacks
Miami Marlins,Arizona Diamondbacks
Miami Marlins,Arizona Diamondbacks
Milwaukee Brewers,Arizona Diamondbacks
Milwaukee Brewers,Arizona Diamondbacks
Milwaukee Brewers,Arizona Diamondbacks
Milwaukee Brewers,Arizona Diamondbacks
Minnesota Twins,Arizona Diamondbacks
Minnesota Twins,Arizona Diamondbacks
Minnesota Twins,Arizona Diamondbacks
New York Mets,Arizona Diamondbacks
New York Mets,Arizona Diamondbacks
New York Mets,Arizona Diamondbacks
Philadelphia Phillies,Arizona Diamondbacks
Philadelphia Phillies,Arizona Diamondbacks
Philadelphia Phillies,Arizona Diamondbacks
Pittsburgh Pirates,Arizona Diamondbacks
Pittsburgh Pirates,Arizona Diamondbacks
Pittsburgh Pirates,Arizona Diamondbacks
Pittsburgh Pirates,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Diego Padres,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
San Francisco Giants,Arizona Diamondbacks
St. Louis Cardinals,Arizona Diamondbacks
St. Louis Cardinals,Arizona Diamondbacks
St. Louis Cardinals,Arizona Diamondbacks
Washington Nationals,Arizona Diamondbacks
Washington Nationals,Arizona Diamondbacks
Washington Nationals,Arizona Diamondbacks
Arizona Diamondbacks,Atlanta Braves
Arizona Diamondbacks,Atlanta Braves
Arizona Diamondbacks,Atlanta Braves
Boston Red Sox,Atlanta Braves
Boston Red Sox,Atlanta Braves
Chicago Cubs,Atlanta Braves
Chicago Cubs,Atlanta Braves
Chicago Cubs,Atlanta Braves
Cincinnati Reds,Atlanta Braves
Cincinnati Reds,Atlanta Braves
Cincinnati Reds,Atlanta Braves
Cincinnati Reds,Atlanta Braves
Colorado Rockies,Atlanta Braves
Colorado Rockies,Atlanta Braves
Colorado Rockies,Atlanta Braves
Houston Astros,Atlanta Braves
Houston Astros,Atlanta Braves
Houston Astros,Atlanta Braves
Los Angeles Angels,Atlanta Braves
Los Angeles Angels,Atlanta Braves
Los Angeles Angels,Atlanta Braves
Los Angeles Dodgers,Atlanta Braves
Los Angeles Dodgers,Atlanta Braves
Los Angeles Dodgers,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Miami Marlins,Atlanta Braves
Milwaukee Brewers,Atlanta Braves
Milwaukee Brewers,Atlanta Braves
Milwaukee Brewers,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
New York Mets,Atlanta Braves
Oakland Athletics,Atlanta Braves
Oakland Athletics,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Philadelphia Phillies,Atlanta Braves
Pittsburgh Pirates,Atlanta Braves
Pittsburgh Pirates,Atlanta Braves
Pittsburgh Pirates,Atlanta Braves
Pittsburgh Pirates,Atlanta Braves
San Diego Padres,Atlanta Braves
San Diego Padres,Atlanta Braves
San Diego Padres,Atlanta Braves
San Francisco Giants,Atlanta Braves
San Francisco Giants,Atlanta Braves
San Francisco Giants,Atlanta Braves
San Francisco Giants,Atlanta Braves
St. Louis Cardinals,Atlanta Braves
St. Louis Cardinals,Atlanta Braves
St. Louis Cardinals,Atlanta Braves
St. Louis Cardinals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Washington Nationals,Atlanta Braves
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Boston Red Sox,Baltimore Orioles
Chicago Cubs,Baltimore Orioles
Chicago Cubs,Baltimore Orioles
Chicago White Sox,Baltimore Orioles
Chicago White Sox,Baltimore Orioles
Chicago White Sox,Baltimore Orioles
Cleveland Guardians,Baltimore Orioles
Cleveland Guardians,Baltimore Orioles
Cleveland Guardians,Baltimore Orioles
Detroit Tigers,Baltimore Orioles
Detroit Tigers,Baltimore Orioles
Detroit Tigers,Baltimore Orioles
Houston Astros,Baltimore Orioles
Houston Astros,Baltimore Orioles
Houston Astros,Baltimore Orioles
Houston Astros,Baltimore Orioles
Kansas City Royals,Baltimore Orioles
Kansas City Royals,Baltimore Orioles
Kansas City Royals,Baltimore Orioles
Los Angeles Angels,Baltimore Orioles
Los Angeles Angels,Baltimore Orioles
Los Angeles Angels,Baltimore Orioles
Los Angeles Angels,Baltimore Orioles
Milwaukee Brewers,Baltimore Orioles
Milwaukee Brewers,Baltimore Orioles
Milwaukee Brewers,Baltimore Orioles
Minnesota Twins,Baltimore Orioles
Minnesota Twins,Baltimore Orioles
Minnesota Twins,Baltimore Orioles
Minnesota Twins,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
New York Yankees,Baltimore Orioles
Oakland Athletics,Baltimore Orioles
Oakland Athletics,Baltimore Orioles
Oakland Athletics,Baltimore Orioles
Pittsburgh Pirates,Baltimore Orioles
Pittsburgh Pirates,Baltimore Orioles
Pittsburgh Pirates,Baltimore Orioles
Seattle Mariners,Baltimore Orioles
